model_name,pair_id,category,event_kind,branch_t,selection_kind
gemma4_e2b_base,token_cert_blank_line_wrap_0111,micro_blank_line_wrap,silent_logit_divergence,10.0,visible_long_prefix
gemma4_e2b_base,token_cert_double_internal_space_0122,micro_double_internal_space,silent_logit_divergence,10.0,visible_long_prefix
gemma4_e2b_base,token_cert_duplicate_punctuation_0091,micro_duplicate_punctuation,silent_logit_divergence,10.0,visible_long_prefix
gemma4_e2b_base,token_cert_duplicate_small_word_0373,micro_duplicate_small_word,silent_logit_divergence,11.0,visible_long_prefix
gemma4_e2b_base,token_cert_line_wrap_0014,micro_line_wrap,silent_logit_divergence,10.0,visible_long_prefix
gemma4_e2b_base,token_cert_parenthesize_word_0153,micro_parenthesize_word,silent_logit_divergence,10.0,visible_long_prefix
gemma4_e2b_base,token_cert_space_after_punctuation_0070,micro_space_after_punctuation,silent_logit_divergence,13.0,visible_long_prefix
gemma4_e2b_base,token_cert_space_before_punctuation_0467,micro_space_before_punctuation,silent_logit_divergence,10.0,visible_long_prefix
gemma4_e2b_base,token_cert_tab_after_space_0207,micro_tab_after_space,silent_logit_divergence,10.0,visible_long_prefix
gemma4_e2b_base,token_cert_triple_internal_space_0077,micro_triple_internal_space,silent_logit_divergence,10.0,visible_long_prefix
gemma4_e2b_base,token_cert_blank_line_wrap_0311,micro_blank_line_wrap,silent_logit_divergence,18.0,visible_long_prefix
gemma4_e2b_base,token_cert_double_internal_space_0248,micro_double_internal_space,silent_logit_divergence,17.0,visible_long_prefix
gemma4_e2b_base,token_cert_duplicate_punctuation_0120,micro_duplicate_punctuation,silent_logit_divergence,18.0,visible_long_prefix
gemma4_e2b_base,token_cert_duplicate_small_word_0032,micro_duplicate_small_word,silent_logit_divergence,17.0,visible_long_prefix
gemma4_e2b_base,token_cert_line_wrap_0470,micro_line_wrap,silent_logit_divergence,18.0,visible_long_prefix
gemma4_e2b_base,token_cert_parenthesize_word_0277,micro_parenthesize_word,silent_logit_divergence,17.0,visible_long_prefix
gemma4_e2b_base,token_cert_space_after_punctuation_0088,micro_space_after_punctuation,silent_logit_divergence,17.0,visible_long_prefix
gemma4_e2b_base,token_cert_space_before_punctuation_0027,micro_space_before_punctuation,silent_logit_divergence,23.0,visible_long_prefix
gemma4_e2b_base,token_cert_tab_after_space_0186,micro_tab_after_space,silent_logit_divergence,19.0,visible_long_prefix
gemma4_e2b_base,token_cert_triple_internal_space_0442,micro_triple_internal_space,silent_logit_divergence,17.0,visible_long_prefix
gemma4_e2b_base,token_cert_blank_line_wrap_0218,micro_blank_line_wrap,silent_logit_divergence,40.0,visible_long_prefix
gemma4_e2b_base,token_cert_double_internal_space_0000,micro_double_internal_space,silent_logit_divergence,34.0,visible_long_prefix
gemma4_e2b_base,token_cert_duplicate_small_word_0367,micro_duplicate_small_word,silent_logit_divergence,42.0,visible_long_prefix
gemma4_e2b_base,token_cert_line_wrap_0169,micro_line_wrap,silent_logit_divergence,51.0,visible_long_prefix
gemma4_e2b_base,token_cert_parenthesize_word_0018,micro_parenthesize_word,silent_logit_divergence,34.0,visible_long_prefix
gemma4_e2b_base,token_cert_space_after_punctuation_0010,micro_space_after_punctuation,silent_logit_divergence,36.0,visible_long_prefix
gemma4_e2b_base,token_cert_space_before_punctuation_0354,micro_space_before_punctuation,silent_logit_divergence,34.0,visible_long_prefix
gemma4_e2b_base,token_cert_tab_after_space_0242,micro_tab_after_space,silent_logit_divergence,36.0,visible_long_prefix
gemma4_e2b_base,token_cert_triple_internal_space_0269,micro_triple_internal_space,silent_logit_divergence,51.0,visible_long_prefix
gemma4_e2b_base,token_cert_blank_line_wrap_0306,micro_blank_line_wrap,silent_logit_divergence,69.0,visible_long_prefix
gemma4_e2b_base,token_cert_double_internal_space_0023,micro_double_internal_space,silent_logit_divergence,69.0,visible_long_prefix
gemma4_e2b_base,token_cert_duplicate_punctuation_0063,micro_duplicate_punctuation,silent_logit_divergence,69.0,visible_long_prefix
gemma4_e2b_base,token_cert_duplicate_small_word_0080,micro_duplicate_small_word,silent_logit_divergence,69.0,visible_long_prefix
gemma4_e2b_base,token_cert_line_wrap_0490,micro_line_wrap,silent_logit_divergence,69.0,visible_long_prefix
gemma4_e2b_base,token_cert_space_after_punctuation_0349,micro_space_after_punctuation,silent_logit_divergence,71.0,visible_long_prefix
gemma4_e2b_base,token_cert_space_before_punctuation_0337,micro_space_before_punctuation,silent_logit_divergence,67.0,visible_long_prefix
gemma4_e2b_base,token_cert_tab_after_space_0222,micro_tab_after_space,silent_logit_divergence,74.0,visible_long_prefix
gemma4_e2b_base,token_cert_triple_internal_space_0043,micro_triple_internal_space,silent_logit_divergence,69.0,visible_long_prefix
gemma4_e2b_base,token_cert_blank_line_wrap_0250,micro_blank_line_wrap,silent_logit_divergence,10.0,visible_long_prefix
gemma4_e2b_base,token_cert_double_internal_space_0035,micro_double_internal_space,silent_logit_divergence,11.0,visible_long_prefix
gemma4_e2b_base,token_cert_duplicate_punctuation_0445,micro_duplicate_punctuation,silent_logit_divergence,10.0,visible_long_prefix
gemma4_e2b_base,token_cert_duplicate_small_word_0419,micro_duplicate_small_word,silent_logit_divergence,11.0,visible_long_prefix
gemma4_e2b_base,token_cert_line_wrap_0034,micro_line_wrap,silent_logit_divergence,10.0,visible_long_prefix
gemma4_e2b_base,token_cert_parenthesize_word_0061,micro_parenthesize_word,silent_logit_divergence,11.0,visible_long_prefix
gemma4_e2b_base,token_cert_space_after_punctuation_0215,micro_space_after_punctuation,silent_logit_divergence,14.0,visible_long_prefix
gemma4_e2b_base,token_cert_space_before_punctuation_0240,micro_space_before_punctuation,silent_logit_divergence,11.0,visible_long_prefix
gemma4_e2b_base,token_cert_tab_after_space_0253,micro_tab_after_space,silent_logit_divergence,10.0,visible_long_prefix
gemma4_e2b_base,token_cert_triple_internal_space_0001,micro_triple_internal_space,silent_logit_divergence,11.0,visible_long_prefix
gemma4_e2b_base,token_cert_blank_line_wrap_0129,micro_blank_line_wrap,silent_logit_divergence,21.0,visible_long_prefix
gemma4_e2b_base,token_cert_double_internal_space_0318,micro_double_internal_space,silent_logit_divergence,23.0,visible_long_prefix
gemma4_e2b_base,token_cert_duplicate_punctuation_0216,micro_duplicate_punctuation,silent_logit_divergence,23.0,visible_long_prefix
gemma4_e2b_base,token_cert_duplicate_small_word_0316,micro_duplicate_small_word,silent_logit_divergence,19.0,visible_long_prefix
gemma4_e2b_base,token_cert_line_wrap_0060,micro_line_wrap,silent_logit_divergence,24.0,visible_long_prefix
gemma4_e2b_base,token_cert_parenthesize_word_0497,micro_parenthesize_word,silent_logit_divergence,19.0,visible_long_prefix
gemma4_e2b_base,token_cert_space_after_punctuation_0131,micro_space_after_punctuation,silent_logit_divergence,22.0,visible_long_prefix
gemma4_e2b_base,token_cert_space_before_punctuation_0301,micro_space_before_punctuation,silent_logit_divergence,25.0,visible_long_prefix
gemma4_e2b_base,token_cert_tab_after_space_0098,micro_tab_after_space,silent_logit_divergence,22.0,visible_long_prefix
gemma4_e2b_base,token_cert_triple_internal_space_0287,micro_triple_internal_space,silent_logit_divergence,23.0,visible_long_prefix
gemma4_e2b_base,token_cert_blank_line_wrap_0113,micro_blank_line_wrap,silent_logit_divergence,43.0,visible_long_prefix
gemma4_e2b_base,token_cert_double_internal_space_0209,micro_double_internal_space,silent_logit_divergence,34.0,visible_long_prefix
gemma4_e2b_base,token_cert_line_wrap_0387,micro_line_wrap,silent_logit_divergence,51.0,visible_long_prefix
gemma4_e2b_base,token_cert_parenthesize_word_0137,micro_parenthesize_word,silent_logit_divergence,44.0,visible_long_prefix
gemma4_e2b_base,token_cert_space_after_punctuation_0213,micro_space_after_punctuation,silent_logit_divergence,50.0,visible_long_prefix
gemma4_e2b_base,token_cert_space_before_punctuation_0008,micro_space_before_punctuation,silent_logit_divergence,42.0,visible_long_prefix
gemma4_e2b_base,token_cert_tab_after_space_0078,micro_tab_after_space,silent_logit_divergence,53.0,visible_long_prefix
gemma4_e2b_base,token_cert_triple_internal_space_0282,micro_triple_internal_space,silent_logit_divergence,51.0,visible_long_prefix
gemma4_e2b_base,token_cert_blank_line_wrap_0457,micro_blank_line_wrap,silent_logit_divergence,71.0,visible_long_prefix
gemma4_e2b_base,token_cert_double_internal_space_0488,micro_double_internal_space,silent_logit_divergence,136.0,visible_long_prefix
gemma4_e2b_base,token_cert_duplicate_punctuation_0276,micro_duplicate_punctuation,silent_logit_divergence,88.0,visible_long_prefix
gemma4_e2b_base,token_cert_duplicate_small_word_0294,micro_duplicate_small_word,silent_logit_divergence,71.0,visible_long_prefix
gemma4_e2b_base,token_cert_line_wrap_0453,micro_line_wrap,silent_logit_divergence,74.0,visible_long_prefix
gemma4_e2b_base,token_cert_space_after_punctuation_0028,micro_space_after_punctuation,silent_logit_divergence,100.0,visible_long_prefix
gemma4_e2b_base,token_cert_space_before_punctuation_0172,micro_space_before_punctuation,silent_logit_divergence,69.0,visible_long_prefix
gemma4_e2b_base,token_cert_tab_after_space_0127,micro_tab_after_space,silent_logit_divergence,102.0,visible_long_prefix
gemma4_e2b_base,token_cert_triple_internal_space_0241,micro_triple_internal_space,silent_logit_divergence,69.0,visible_long_prefix
gemma4_e2b_base,token_cert_blank_line_wrap_0033,micro_blank_line_wrap,silent_logit_divergence,11.0,visible_long_prefix
gemma4_e2b_base,token_cert_double_internal_space_0107,micro_double_internal_space,silent_logit_divergence,11.0,visible_long_prefix
gemma4_e2b_base,token_cert_duplicate_punctuation_0158,micro_duplicate_punctuation,silent_logit_divergence,11.0,visible_long_prefix
gemma4_e2b_base,token_cert_duplicate_small_word_0103,micro_duplicate_small_word,silent_logit_divergence,13.0,visible_long_prefix
gemma4_e2b_base,token_cert_line_wrap_0184,micro_line_wrap,silent_logit_divergence,10.0,visible_long_prefix
gemma4_e2b_base,token_cert_parenthesize_word_0211,micro_parenthesize_word,silent_logit_divergence,11.0,visible_long_prefix
gemma4_e2b_base,token_cert_space_after_punctuation_0049,micro_space_after_punctuation,silent_logit_divergence,15.0,visible_long_prefix
gemma4_e2b_base,token_cert_space_before_punctuation_0102,micro_space_before_punctuation,silent_logit_divergence,15.0,visible_long_prefix
gemma4_e2b_base,token_cert_tab_after_space_0310,micro_tab_after_space,silent_logit_divergence,10.0,visible_long_prefix
gemma4_e2b_base,token_cert_triple_internal_space_0260,micro_triple_internal_space,silent_logit_divergence,11.0,visible_long_prefix
gemma4_e2b_base,token_cert_blank_line_wrap_0160,micro_blank_line_wrap,silent_logit_divergence,21.0,visible_long_prefix
gemma4_e2b_base,token_cert_double_internal_space_0259,micro_double_internal_space,silent_logit_divergence,25.0,visible_long_prefix
gemma4_e2b_base,token_cert_duplicate_small_word_0199,micro_duplicate_small_word,silent_logit_divergence,22.0,visible_long_prefix
gemma4_e2b_base,token_cert_line_wrap_0312,micro_line_wrap,silent_logit_divergence,24.0,visible_long_prefix
gemma4_e2b_base,token_cert_parenthesize_word_0256,micro_parenthesize_word,silent_logit_divergence,20.0,visible_long_prefix
gemma4_e2b_base,token_cert_space_after_punctuation_0388,micro_space_after_punctuation,silent_logit_divergence,28.0,visible_long_prefix
gemma4_e2b_base,token_cert_space_before_punctuation_0220,micro_space_before_punctuation,silent_logit_divergence,27.0,visible_long_prefix
gemma4_e2b_base,token_cert_tab_after_space_0017,micro_tab_after_space,silent_logit_divergence,23.0,visible_long_prefix
gemma4_e2b_base,token_cert_triple_internal_space_0235,micro_triple_internal_space,silent_logit_divergence,25.0,visible_long_prefix
gemma4_e2b_base,token_cert_blank_line_wrap_0212,micro_blank_line_wrap,silent_logit_divergence,45.0,visible_long_prefix
gemma4_e2b_base,token_cert_double_internal_space_0472,micro_double_internal_space,silent_logit_divergence,42.0,visible_long_prefix
